p.BIN1,p.BIN2,p.BIN3,p.BIN4,logBIN1,logBIN2,logBIN3,logBIN4,meanCS.BIN1,meanCS.BIN2,meanCS.BIN3,meanCS.BIN4,medianCS.BIN1,medianCS.BIN2,medianCS.BIN3,medianCS.BIN4,type
crRNA004:7-33_consecDouble_07,0.317394776974222,0.0453693502008889,1,1,0.49840022424134,1.34323744083954,0,0,-0.438507336663937,0.568908462979757,0.160396227735517,0.0730699435865172,-0.438507336663937,0.568908462979757,0.160396227735517,0.0730699435865172,Consecutive Double
crRNA004:7-33_consecDouble_08,0.107880398727111,0.560888888888889,0.365648835072,1,0.967057457059116,0.251123163203247,0.436935805865081,0,0.61797025757267,0.633204795661083,0.359897598907815,0.153774628792549,0.61797025757267,0.633204795661083,0.359897598907815,0.153774628792549,Consecutive Double
crRNA004:7-33_consecDouble_09,0.0263226357191111,0.0666994888248889,0.198264563975111,0.010787045184,1.57967062641998,1.17587749443998,0.70275490074827,1.96709750212198,-0.624996102499267,-0.513134347969973,0.542505015601805,-1.17030028350777,-0.624996102499267,-0.513134347969973,0.542505015601805,-1.17030028350777,Consecutive Double
crRNA004:7-33_consecDouble_10,0.374700079992889,0.343524162048,0.0581144462222222,0.455322384,0.426316214190785,0.464042711078734,1.23571589627165,0.341680998914901,-0.261659480340809,-0.118509519803537,0.417463878222217,0.311502796283539,-0.0248548904977155,-0.0388368501660569,0.675663294254924,0.335185597031732,Consecutive Double
crRNA004:7-33_consecDouble_11,0.111511591303111,0.408638090353778,0.875974030350222,0.281130542136889,0.952679986630768,0.388661153955526,0.0575087689949079,0.551091969899597,0.601744460468923,-0.0850705347145011,-0.0497760464553024,-0.0665299786079315,0.687472612566147,-0.223201896050068,-0.168158703686198,-0.458775921466002,Consecutive Double
crRNA004:7-33_consecDouble_12,0.463007005632,0.363715129799111,0.454432386033778,0.339577807303111,0.334412437741654,0.439238632814964,0.342530725328374,0.469060700291265,-0.0420259793676771,0.0623235837748304,0.174854080239588,0.0227706239559351,-0.0548562411266427,0.0728342783694963,0.315861467471526,0.0208205011131956,Consecutive Double
crRNA004:7-33_consecDouble_13,0.414084304896,0.489029835896889,0.345792888888889,0.626945949696,0.382911230319255,0.310664643596011,0.461183942086013,0.202769898978859,-0.000886579866977112,0.200091503726383,0.313134879075902,-0.437427631430302,0.00731625358496637,0.0204858476308245,0.165883768618194,-0.437427631430302,Consecutive Double
crRNA004:7-33_consecDouble_14,0.302023247424,0.132035710520889,0.959638599950222,0.497674407544889,0.519959627111105,0.879308593152451,0.0178922915418152,0.303054691881673,0.305874314298812,0.279673474867262,-0.00961285264761302,-0.0206503901939476,0.423363195786371,0.160101220587772,-0.114935786330083,0.0136801366341172,Consecutive Double
crRNA004:7-33_consecDouble_15,0.967640860423111,0.272161799111111,0.135506188167111,0.915894605838222,0.0142858010360647,0.565172832841422,0.868040871391319,0.0381544987517305,-0.299819079203428,0.0956310977112666,0.47415115976236,0.25517144530634,-0.299819079203428,0.0804280377381909,0.468347320969759,0.25517144530634,Consecutive Double
crRNA004:7-33_consecDouble_16,0.120567367175111,0.170400706752,0.187239888888889,0.180524529912889,0.918770222656399,0.768528608290814,0.727601625261732,0.7434637772376,-0.228182388560381,0.201877858859211,0.332929818351604,0.332599374170377,-0.27533090700558,0.217216144457473,0.413945906121504,0.211031760593817,Consecutive Double
