R1_input,R2_input,R3_input,R1_top,R2_top,R3_top,R1_bot,R2_bot,R3_bot
crRNA0672:1012-1034_randomDouble_158,834,93,647,33,88,641,329,834,815
crRNA0672:1012-1034_randomDouble_166,1497,247,972,44,331,766,822,1486,1062
crRNA0672:1012-1034_randomDouble_168,722,126,532,32,187,560,397,716,739
crRNA0672:1012-1034_randomDouble_204,854,154,661,37,88,605,446,916,833
crRNA0672:1012-1034_randomDouble_212,932,289,854,43,310,827,563,1233,869
crRNA0672:1012-1034_randomDouble_223,911,146,634,36,207,495,496,876,636
crRNA0672:1012-1034_randomDouble_227,621,155,460,34,307,488,387,653,692
crRNA0672:1012-1034_randomDouble_228,734,136,645,17,97,610,372,764,705
crRNA0672:1012-1034_randomDouble_232,1257,358,1189,276,482,2877,430,666,557
crRNA0672:1012-1034_randomDouble_233,904,184,829,87,620,1926,384,554,360
crRNA0672:1012-1034_randomDouble_234,838,121,669,34,89,814,288,963,698
crRNA0672:1012-1034_randomDouble_236,978,274,911,61,212,914,730,898,818
crRNA0672:1012-1034_randomDouble_245,1014,274,872,60,253,936,665,880,871
crRNA0672:1012-1034_randomDouble_251,1041,196,840,22,368,765,578,1098,850
crRNA0672:1012-1034_randomDouble_258,1166,254,958,171,688,1473,312,482,564
crRNA0672:1012-1034_randomDouble_262,1041,199,1032,50,436,1265,372,786,896
crRNA0672:1012-1034_randomDouble_264,924,303,632,74,513,1220,389,497,505
crRNA0672:1012-1034_randomDouble_277,1150,253,978,156,624,1960,457,528,487
crRNA0672:1012-1034_randomDouble_292,673,135,524,29,155,439,253,690,595
crRNA0672:1012-1034_randomDouble_295,725,91,531,13,103,503,297,686,580
crRNA0672:1012-1034_randomDouble_306,949,219,828,103,282,1443,454,648,684
crRNA0672:1012-1034_randomDouble_307,1115,303,822,63,314,1431,608,996,729
crRNA0672:1012-1034_randomDouble_316,909,327,817,60,168,729,664,884,857
crRNA0672:1012-1034_randomDouble_318,1276,315,1040,87,362,979,866,1347,1279
crRNA0672:1012-1034_randomDouble_322,846,199,687,52,453,827,490,1005,750
crRNA0672:1012-1034_randomDouble_323,1384,434,1117,170,719,1873,664,809,755
crRNA0672:1012-1034_randomDouble_330,939,297,773,51,503,1127,662,762,657
crRNA0672:1012-1034_randomDouble_332,789,242,680,74,211,790,365,659,587
crRNA0672:1012-1034_randomDouble_341,768,229,534,37,239,653,459,790,641
crRNA0672:1012-1034_randomDouble_344,762,250,789,74,130,808,606,1032,810
crRNA0672:1012-1034_randomDouble_345,848,161,609,34,241,641,495,722,669
crRNA0672:1012-1034_randomDouble_353,796,138,652,74,364,481,378,1002,868
crRNA0672:1012-1034_randomDouble_357,737,254,747,33,128,682,532,1160,797
crRNA0672:1012-1034_randomDouble_368,1026,152,774,43,175,642,501,1046,859
crRNA0672:1012-1034_randomDouble_380,781,215,563,44,276,588,592,790,651
crRNA0672:1012-1034_randomDouble_386,947,204,529,38,383,686,539,1016,868
crRNA0672:1012-1034_randomDouble_388,974,161,730,39,215,766,707,1216,983
crRNA0672:1012-1034_randomDouble_389,834,251,703,73,162,699,470,848,775
crRNA0672:1012-1034_randomDouble_397,927,243,750,57,138,816,664,1130,992
crRNA0672:1012-1034_randomDouble_399,1028,286,834,115,297,821,634,1180,992
crRNA0672:1012-1034_randomDouble_402,866,279,702,24,31,626,542,971,771
crRNA0672:1012-1034_randomDouble_404,761,167,633,41,110,604,209,931,690
crRNA0672:1012-1034_randomDouble_411,1043,285,629,26,247,646,712,1101,822
crRNA0672:1012-1034_randomDouble_425,974,338,834,27,296,705,489,1063,1089
crRNA0672:1012-1034_randomDouble_426,1010,272,810,48,477,842,629,1284,1110
crRNA0672:1012-1034_randomDouble_452,961,223,732,42,355,725,578,920,807
crRNA0672:1012-1034_randomDouble_455,991,245,826,77,366,950,633,1213,976
crRNA0672:1012-1034_randomDouble_458,959,185,671,54,206,630,364,832,794
crRNA0672:1012-1034_randomDouble_460,716,111,564,18,157,554,391,745,729
crRNA0672:1012-1034_randomDouble_472,936,272,758,51,234,801,569,1133,799
crRNA0672:1012-1034_randomDouble_475,853,201,735,84,257,603,538,1055,956
crRNA0672:1012-1034_randomDouble_476,515,116,447,36,47,391,229,652,511
crRNA0672:1012-1034_randomDouble_477,819,151,617,9,76,594,391,877,684
crRNA0672:1012-1034_randomDouble_483,706,141,591,4,165,591,271,679,655
crRNA0672:1012-1034_randomDouble_492,1193,285,867,44,313,782,532,1322,919
crRNA0672:1012-1034_randomDouble_500,658,112,618,22,231,550,442,793,591
crRNA0672:1012-1034_randomDouble_509,795,112,629,29,169,770,334,657,681
crRNA0672:1012-1034_randomDouble_512,702,140,895,55,124,711,557,842,911
crRNA0672:1012-1034_randomDouble_514,835,180,639,27,69,649,483,786,770
crRNA0688:1053-1075_randomDouble_006,1080,381,801,41,311,1007,720,850,961
crRNA0688:1053-1075_randomDouble_007,1182,355,757,31,292,814,902,974,953
crRNA0688:1053-1075_randomDouble_012,1228,537,1107,137,524,1286,1265,1499,1246
crRNA0688:1053-1075_randomDouble_019,1303,556,1238,196,494,1278,1262,1508,1178
crRNA0688:1053-1075_randomDouble_020,1142,379,944,68,296,863,975,1240,974
crRNA0688:1053-1075_randomDouble_022,1502,529,1101,111,240,983,1321,1726,1121
crRNA0688:1053-1075_randomDouble_023,1605,702,1255,72,697,1377,1292,1543,1207
crRNA0688:1053-1075_randomDouble_031,817,177,506,16,311,480,611,1003,658
crRNA0688:1053-1075_randomDouble_034,526,129,490,27,286,465,449,802,612
crRNA0688:1053-1075_randomDouble_039,780,80,643,31,301,544,499,833,871
crRNA0688:1053-1075_randomDouble_043,945,516,698,21,83,652,599,818,914
crRNA0688:1053-1075_randomDouble_055,1029,243,854,122,218,864,708,1385,846
crRNA0688:1053-1075_randomDouble_056,1095,177,951,65,308,815,697,1377,1008
crRNA0688:1053-1075_randomDouble_057,1140,191,973,81,300,884,772,1339,1032
crRNA0688:1053-1075_randomDouble_059,920,281,919,69,304,751,515,972,885
crRNA0688:1053-1075_randomDouble_062,739,197,599,41,254,593,557,918,697
crRNA0688:1053-1075_randomDouble_068,925,241,732,50,256,811,699,1082,754
crRNA0688:1053-1075_randomDouble_070,1527,371,1220,64,465,1519,947,1479,1193
crRNA0688:1053-1075_randomDouble_080,1211,224,1039,52,204,1322,764,1235,1091
crRNA0688:1053-1075_randomDouble_081,806,292,749,115,498,693,615,1094,962
crRNA0688:1053-1075_randomDouble_085,921,294,767,1,403,794,754,1001,974
crRNA0688:1053-1075_randomDouble_088,965,311,762,67,255,823,786,1224,738
crRNA0688:1053-1075_randomDouble_093,1203,450,821,96,325,1185,994,1267,857
crRNA0688:1053-1075_randomDouble_096,1082,261,949,124,153,902,696,1094,794
crRNA0688:1053-1075_randomDouble_107,920,288,733,69,317,647,708,1194,1007
crRNA0688:1053-1075_randomDouble_108,1051,226,859,62,235,720,772,1190,875
crRNA0688:1053-1075_randomDouble_113,1102,284,827,28,288,956,953,1234,1070
crRNA0688:1053-1075_randomDouble_115,1151,345,856,43,50,822,908,1088,904
crRNA0688:1053-1075_randomDouble_118,1247,317,912,51,356,1081,931,1052,1049
crRNA0688:1053-1075_randomDouble_124,995,361,867,102,249,905,954,1127,922
crRNA0688:1053-1075_randomDouble_127,985,263,934,58,256,791,758,1074,928
crRNA0688:1053-1075_randomDouble_128,921,266,705,301,146,681,665,1024,801
crRNA0688:1053-1075_randomDouble_131,1136,404,927,85,478,1025,932,1086,916
crRNA0688:1053-1075_randomDouble_133,937,332,770,96,154,690,682,898,725
crRNA0688:1053-1075_randomDouble_137,1031,346,888,22,203,913,1022,1168,960
crRNA0688:1053-1075_randomDouble_138,920,242,673,15,240,807,658,862,748
crRNA0688:1053-1075_randomDouble_141,1176,314,1119,119,558,1123,978,1312,1137
crRNA0688:1053-1075_randomDouble_142,1454,415,1274,164,737,1172,1074,1727,1501
crRNA0688:1053-1075_randomDouble_146,966,218,935,76,186,663,759,1145,933
crRNA0688:1053-1075_randomDouble_147,1099,432,957,136,246,921,955,1310,954
crRNA0688:1053-1075_randomDouble_149,1187,252,1065,66,178,1136,727,1388,1195
crRNA0688:1053-1075_randomDouble_154,926,262,755,69,284,706,605,1310,912
crRNA0688:1053-1075_randomDouble_156,1041,373,919,115,350,880,782,1808,1128
crRNA0688:1053-1075_randomDouble_164,976,209,890,73,181,727,701,910,925
crRNA0688:1053-1075_randomDouble_166,964,401,799,188,865,1061,821,1136,858
crRNA0688:1053-1075_randomDouble_203,1145,415,967,173,620,1040,1110,1252,1188
crRNA0688:1053-1075_randomDouble_211,1138,533,929,35,290,850,746,1164,921
crRNA0688:1053-1075_randomDouble_221,1306,301,1226,17,419,868,891,1822,1028
crRNA0688:1053-1075_randomDouble_225,896,309,737,44,228,664,562,1048,763
crRNA0688:1053-1075_randomDouble_226,1234,505,997,68,452,836,1240,1050,1012
crRNA0688:1053-1075_randomDouble_230,1072,293,859,65,184,862,679,1223,801
crRNA0688:1053-1075_randomDouble_231,1366,419,1142,120,612,1064,1073,1641,1240
crRNA0688:1053-1075_randomDouble_233,1167,285,1245,68,298,1218,835,1388,1348
crRNA0688:1053-1075_randomDouble_235,974,289,1593,50,272,860,812,1154,989
crRNA0688:1053-1075_randomDouble_245,930,263,797,66,334,815,789,1136,884
crRNA0688:1053-1075_randomDouble_251,1008,357,1005,79,303,927,563,1313,1050
crRNA0688:1053-1075_randomDouble_258,1069,353,897,68,114,801,653,1332,913
crRNA0688:1053-1075_randomDouble_262,1255,286,1053,142,522,1090,1027,1475,1163
crRNA0688:1053-1075_randomDouble_263,1203,213,1048,23,284,980,779,1196,1158
crRNA0688:1053-1075_randomDouble_276,1047,258,830,21,516,795,741,1106,972
crRNA0688:1053-1075_randomDouble_290,1223,332,1069,90,294,1232,843,1175,1125
crRNA0688:1053-1075_randomDouble_293,1739,371,1325,90,386,1179,1012,1733,1245
crRNA0688:1053-1075_randomDouble_307,1124,270,995,55,459,1060,621,1321,924
crRNA0688:1053-1075_randomDouble_308,1533,382,1294,106,496,1700,841,1547,1133
crRNA0688:1053-1075_randomDouble_316,940,213,696,82,295,840,634,1054,864
crRNA0688:1053-1075_randomDouble_318,1340,358,1009,107,337,1241,817,1124,1009
crRNA0688:1053-1075_randomDouble_319,1333,260,987,54,433,1037,857,1381,1175
crRNA0688:1053-1075_randomDouble_322,1444,446,1230,90,476,1193,1075,1430,1368
crRNA0688:1053-1075_randomDouble_323,1443,426,1189,86,486,1293,982,1399,1226
crRNA0688:1053-1075_randomDouble_329,1044,352,898,52,309,970,760,1430,1052
crRNA0688:1053-1075_randomDouble_333,1098,351,945,27,286,833,789,1156,1078
crRNA0688:1053-1075_randomDouble_341,1176,266,1026,87,433,908,678,1222,1019
crRNA0688:1053-1075_randomDouble_345,1434,312,1154,79,309,1278,956,1684,1579
crRNA0688:1053-1075_randomDouble_346,1178,319,898,44,220,904,1000,1145,1001
crRNA0688:1053-1075_randomDouble_353,1067,278,806,44,138,992,723,1098,927
crRNA0688:1053-1075_randomDouble_357,1208,313,1021,113,75,913,758,1432,1132
crRNA0688:1053-1075_randomDouble_366,1281,306,962,83,400,853,794,1202,1210
crRNA0688:1053-1075_randomDouble_381,1303,256,977,30,309,844,599,1156,797
crRNA0688:1053-1075_randomDouble_387,1082,283,950,34,365,1059,621,1249,990
crRNA0688:1053-1075_randomDouble_388,808,226,749,30,44,752,421,1052,823
crRNA0688:1053-1075_randomDouble_389,893,205,724,61,364,715,586,1035,968
crRNA0688:1053-1075_randomDouble_395,1170,382,872,71,196,1004,924,1494,1055
crRNA0688:1053-1075_randomDouble_397,1100,370,776,75,307,819,740,1049,1129
crRNA0688:1053-1075_randomDouble_402,1395,296,1091,101,257,1059,860,1484,1139
crRNA0688:1053-1075_randomDouble_404,1547,532,1253,63,344,1268,908,1476,1520
crRNA0688:1053-1075_randomDouble_410,1048,179,834,59,327,891,837,1259,913
crRNA0688:1053-1075_randomDouble_426,1055,326,926,82,306,905,851,1132,953
crRNA0688:1053-1075_randomDouble_427,1082,251,993,65,285,1046,827,1161,1050
crRNA0688:1053-1075_randomDouble_447,1156,210,755,32,299,578,523,957,843
crRNA0688:1053-1075_randomDouble_450,856,193,618,45,303,560,567,1108,806
crRNA0688:1053-1075_randomDouble_452,870,215,655,32,271,843,577,868,654
crRNA0688:1053-1075_randomDouble_454,825,178,623,33,155,680,342,906,847
crRNA0688:1053-1075_randomDouble_466,918,330,762,68,323,668,834,1036,767
crRNA0688:1053-1075_randomDouble_470,745,215,643,36,232,497,481,738,712
crRNA0688:1053-1075_randomDouble_473,1038,436,933,71,222,1028,809,1318,1049
crRNA0688:1053-1075_randomDouble_475,1211,293,922,97,542,871,986,1532,1226
crRNA0688:1053-1075_randomDouble_482,1076,423,824,76,305,863,820,1085,952
crRNA0688:1053-1075_randomDouble_486,977,187,808,23,209,849,522,1090,651
crRNA0688:1053-1075_randomDouble_492,1301,224,832,70,324,1059,529,1166,893
crRNA0688:1053-1075_randomDouble_511,809,281,745,118,358,828,608,823,833
crRNA0927:1382-1404_randomDouble_006,1273,281,986,34,237,1111,707,1250,999
crRNA0927:1382-1404_randomDouble_007,1345,328,1183,154,862,1281,813,975,1030
crRNA0927:1382-1404_randomDouble_011,1547,301,1336,94,306,1398,941,1577,1738
crRNA0927:1382-1404_randomDouble_019,1202,235,1144,168,516,1152,837,1179,1033
crRNA0927:1382-1404_randomDouble_022,1197,303,990,161,775,1412,777,775,820
crRNA0927:1382-1404_randomDouble_030,1201,275,932,55,468,970,600,1254,791
crRNA0927:1382-1404_randomDouble_034,1245,179,880,38,248,863,727,1000,870
crRNA0927:1382-1404_randomDouble_038,960,273,845,29,372,986,686,1076,764
crRNA0927:1382-1404_randomDouble_042,925,194,684,49,136,944,441,764,917
crRNA0927:1382-1404_randomDouble_053,1059,367,838,46,248,1156,672,942,930
crRNA0927:1382-1404_randomDouble_054,1291,231,1004,47,452,1021,476,894,801
crRNA0927:1382-1404_randomDouble_055,1169,324,898,82,318,1192,714,870,927
crRNA0927:1382-1404_randomDouble_058,1092,300,843,22,145,1111,464,748,741
crRNA0927:1382-1404_randomDouble_060,1283,249,1153,62,287,1304,682,1143,934
crRNA0927:1382-1404_randomDouble_066,982,242,847,33,315,708,542,821,840
crRNA0927:1382-1404_randomDouble_068,1291,251,944,148,660,1798,521,784,599
crRNA0927:1382-1404_randomDouble_077,1196,248,948,70,340,1128,442,989,899
crRNA0927:1382-1404_randomDouble_078,1009,191,926,29,300,1143,724,946,733
crRNA0927:1382-1404_randomDouble_081,1210,269,930,82,256,906,548,1196,692
crRNA0927:1382-1404_randomDouble_085,1562,268,1096,45,499,1165,841,1578,1102
crRNA0927:1382-1404_randomDouble_090,1211,418,1148,220,448,1278,735,959,1086
crRNA0927:1382-1404_randomDouble_093,1072,214,1051,37,179,960,688,1262,1024
crRNA0927:1382-1404_randomDouble_104,948,148,592,67,146,672,341,683,517
crRNA0927:1382-1404_randomDouble_110,995,171,733,29,398,665,643,1118,701
crRNA0927:1382-1404_randomDouble_111,856,218,828,53,154,615,416,751,952
crRNA0927:1382-1404_randomDouble_114,767,156,601,229,417,1121,477,555,413
crRNA0927:1382-1404_randomDouble_120,885,159,842,44,307,932,265,942,735
crRNA0927:1382-1404_randomDouble_124,1042,314,779,76,322,1167,543,858,827
crRNA0927:1382-1404_randomDouble_125,905,264,768,17,218,906,451,817,824
crRNA0927:1382-1404_randomDouble_128,1407,273,873,57,149,972,688,1106,908
crRNA0927:1382-1404_randomDouble_130,1118,237,712,30,142,868,730,1117,855
crRNA0927:1382-1404_randomDouble_133,926,204,739,19,289,826,564,1160,921
crRNA0927:1382-1404_randomDouble_135,1302,214,1319,68,176,1070,649,1014,977
crRNA0927:1382-1404_randomDouble_138,1435,385,1256,345,629,1331,677,999,1006
crRNA0927:1382-1404_randomDouble_139,1257,268,1120,46,328,1280,596,1070,1058
crRNA0927:1382-1404_randomDouble_143,1005,366,901,87,288,1343,315,625,543
crRNA0927:1382-1404_randomDouble_147,1222,328,1007,107,328,1054,808,1007,1010
crRNA0927:1382-1404_randomDouble_151,861,281,815,23,237,834,433,921,810
crRNA0927:1382-1404_randomDouble_153,1238,240,999,99,639,1177,842,1343,1017
crRNA0927:1382-1404_randomDouble_160,1159,362,899,125,491,1297,523,743,610
crRNA0927:1382-1404_randomDouble_162,1252,294,1050,161,734,2194,264,617,546
crRNA0927:1382-1404_randomDouble_199,1596,552,1279,124,415,1532,1133,1733,1317
crRNA0927:1382-1404_randomDouble_207,1643,479,1616,325,604,2246,768,1183,1143
crRNA0927:1382-1404_randomDouble_219,843,157,689,50,177,783,393,790,666
crRNA0927:1382-1404_randomDouble_222,787,184,644,83,338,646,463,857,595
crRNA0927:1382-1404_randomDouble_223,954,285,788,16,190,820,487,984,900
crRNA0927:1382-1404_randomDouble_227,926,238,758,68,212,804,381,773,693
crRNA0927:1382-1404_randomDouble_228,1006,167,700,75,335,745,385,529,553
crRNA0927:1382-1404_randomDouble_229,873,169,807,274,231,1313,354,475,546
crRNA0927:1382-1404_randomDouble_232,761,174,706,27,295,680,336,865,669
crRNA0927:1382-1404_randomDouble_243,1031,264,755,27,279,702,471,1130,839
crRNA0927:1382-1404_randomDouble_247,928,163,637,25,131,594,536,904,856
crRNA0927:1382-1404_randomDouble_254,959,223,902,77,240,1319,561,728,736
crRNA0927:1382-1404_randomDouble_258,802,152,611,80,306,1007,350,720,697
crRNA0927:1382-1404_randomDouble_259,1073,215,887,73,381,1129,475,845,772
crRNA0927:1382-1404_randomDouble_274,1391,258,1001,61,671,1028,639,1155,1107
crRNA0927:1382-1404_randomDouble_286,1045,291,777,80,513,1354,394,702,673
crRNA0927:1382-1404_randomDouble_293,1178,276,952,62,190,1059,895,3327,1220
crRNA0927:1382-1404_randomDouble_304,1061,365,831,12,316,1090,489,987,711
crRNA0927:1382-1404_randomDouble_305,1164,320,929,52,367,1321,506,743,583
crRNA0927:1382-1404_randomDouble_315,967,213,736,86,459,688,644,1057,841
crRNA0927:1382-1404_randomDouble_316,1186,286,883,24,204,920,604,1296,960
crRNA0927:1382-1404_randomDouble_317,1402,429,1134,43,424,1361,949,1381,1289
crRNA0927:1382-1404_randomDouble_321,1146,361,729,46,253,792,527,944,575
crRNA0927:1382-1404_randomDouble_322,1084,285,942,83,274,851,556,950,832
crRNA0927:1382-1404_randomDouble_328,1015,339,833,128,320,926,605,1045,906
crRNA0927:1382-1404_randomDouble_330,855,226,750,26,465,749,442,935,771
crRNA0927:1382-1404_randomDouble_340,1177,279,837,43,65,887,707,1515,820
crRNA0927:1382-1404_randomDouble_342,1216,357,1103,21,287,1086,764,1526,1198
crRNA0927:1382-1404_randomDouble_343,1297,343,833,53,325,1033,704,1130,995
crRNA0927:1382-1404_randomDouble_351,1350,279,1100,68,296,1049,596,1196,1160
crRNA0927:1382-1404_randomDouble_356,1190,310,888,14,524,965,745,1159,1140
crRNA0927:1382-1404_randomDouble_365,1250,325,894,36,110,1189,977,1429,1264
crRNA0927:1382-1404_randomDouble_377,1227,360,1046,48,387,1094,861,1304,1253
crRNA0927:1382-1404_randomDouble_381,1065,262,930,20,244,892,554,1304,989
crRNA0927:1382-1404_randomDouble_383,1090,153,900,31,221,841,600,1234,1015
crRNA0927:1382-1404_randomDouble_384,1570,369,1234,98,333,1388,910,1503,1218
crRNA0927:1382-1404_randomDouble_392,1570,289,1152,136,546,1057,947,1274,1163
crRNA0927:1382-1404_randomDouble_394,1115,346,979,45,239,966,637,1022,1197
crRNA0927:1382-1404_randomDouble_399,908,264,716,50,319,839,516,870,778
crRNA0927:1382-1404_randomDouble_400,1516,401,1189,148,505,1049,978,1734,1228
crRNA0927:1382-1404_randomDouble_407,1267,266,1007,67,339,881,886,1513,1058
crRNA0927:1382-1404_randomDouble_422,996,240,846,27,296,977,301,748,806
crRNA0927:1382-1404_randomDouble_445,1072,218,758,79,189,1076,437,745,604
crRNA0927:1382-1404_randomDouble_448,1203,202,932,83,383,894,636,1016,856
crRNA0927:1382-1404_randomDouble_452,1135,227,821,22,221,794,635,1055,919
crRNA0927:1382-1404_randomDouble_454,1201,334,1046,50,149,994,870,1249,994
crRNA0927:1382-1404_randomDouble_464,1476,335,1327,138,721,1775,617,1112,974
crRNA0927:1382-1404_randomDouble_470,992,292,755,75,525,1111,567,935,706
crRNA0927:1382-1404_randomDouble_471,1565,423,1327,103,597,1654,908,1537,1247
crRNA0927:1382-1404_randomDouble_477,1163,303,1014,73,468,1047,1006,1451,1245
crRNA0927:1382-1404_randomDouble_482,1244,403,1142,27,690,1847,874,897,866
crRNA0927:1382-1404_randomDouble_487,1100,389,983,252,435,2002,521,695,572
crRNA0927:1382-1404_randomDouble_491,966,260,776,198,422,1386,399,773,557
crRNA0927:1382-1404_randomDouble_497,966,304,856,165,240,1080,472,827,783
crRNA0927:1382-1404_randomDouble_498,981,271,830,39,259,872,899,1168,845
crRNA0927:1382-1404_randomDouble_506,1390,279,1223,151,538,1838,460,839,1092
crRNA0927:1382-1404_randomDouble_507,1387,416,1113,74,732,1440,738,923,896
crRNA0927:1382-1404_randomDouble_508,1207,240,925,39,71,1300,575,964,1030
crRNA0927:1382-1404_randomDouble_510,4645,243,1068,940,811,1408,532,662,806
crRNA1033:1532-1554_randomDouble_006,1220,525,1143,46,422,1115,915,1417,1019
crRNA1033:1532-1554_randomDouble_007,1388,426,1295,122,460,1153,1169,1513,1490
crRNA1033:1532-1554_randomDouble_012,1107,349,1006,133,249,1092,919,1110,1005
crRNA1033:1532-1554_randomDouble_019,1036,312,788,66,495,908,1022,1148,950
crRNA1033:1532-1554_randomDouble_022,1111,171,872,16,271,821,547,1128,1046
crRNA1033:1532-1554_randomDouble_030,1793,392,1320,78,476,1259,1260,1735,1361
crRNA1033:1532-1554_randomDouble_034,1557,609,1174,17,567,1116,1042,1781,1363
crRNA1033:1532-1554_randomDouble_038,1175,291,998,116,697,866,1008,1320,1175
crRNA1033:1532-1554_randomDouble_042,1498,302,1036,44,219,983,935,1194,1087
crRNA1033:1532-1554_randomDouble_052,900,208,819,47,212,571,430,1154,996
crRNA1033:1532-1554_randomDouble_053,1575,374,1244,72,223,1280,969,1430,1212
crRNA1033:1532-1554_randomDouble_054,1177,276,958,92,314,910,759,1191,1027
crRNA1033:1532-1554_randomDouble_057,1084,340,832,68,962,827,776,1279,925
crRNA1033:1532-1554_randomDouble_059,850,320,789,63,220,559,649,838,810
crRNA1033:1532-1554_randomDouble_065,991,346,777,72,125,839,686,1059,892
crRNA1033:1532-1554_randomDouble_067,1143,235,964,118,406,1175,681,1093,921
crRNA1033:1532-1554_randomDouble_076,1545,400,1360,72,681,1488,945,1516,1363
crRNA1033:1532-1554_randomDouble_077,1365,446,1092,109,225,1142,1022,1383,1270
crRNA1033:1532-1554_randomDouble_081,1265,347,1135,120,493,1178,812,1241,1097
crRNA1033:1532-1554_randomDouble_084,1287,340,1149,68,351,948,841,1339,1274
crRNA1033:1532-1554_randomDouble_089,1336,405,1076,122,769,1273,1167,1718,1363
crRNA1033:1532-1554_randomDouble_092,1019,354,1134,132,495,1766,1274,1347,935
crRNA1033:1532-1554_randomDouble_105,1494,471,1169,157,576,1144,1284,1623,1224
crRNA1033:1532-1554_randomDouble_106,1259,296,852,25,150,723,629,1316,955
crRNA1033:1532-1554_randomDouble_111,1337,549,1274,127,119,1011,1197,1453,1177
crRNA1033:1532-1554_randomDouble_113,1455,599,1303,158,137,1228,1190,1659,1439
crRNA1033:1532-1554_randomDouble_116,1238,239,972,118,481,1026,496,1119,818
crRNA1033:1532-1554_randomDouble_120,1317,356,1178,138,534,1122,857,1582,1274
crRNA1033:1532-1554_randomDouble_124,1358,466,1234,144,778,1087,981,1432,1357
crRNA1033:1532-1554_randomDouble_125,1096,159,910,11,260,705,491,1064,979
crRNA1033:1532-1554_randomDouble_128,1534,422,1174,46,477,1038,703,1284,1154
crRNA1033:1532-1554_randomDouble_130,1239,145,1003,119,766,971,1016,1349,1316
crRNA1033:1532-1554_randomDouble_134,1195,208,916,165,297,729,718,1318,1092
crRNA1033:1532-1554_randomDouble_135,1098,325,946,69,330,795,635,1261,1119
crRNA1033:1532-1554_randomDouble_139,1310,378,1119,42,653,951,1067,1332,1351
crRNA1033:1532-1554_randomDouble_142,1694,472,1167,162,451,1355,1050,1631,1155
crRNA1033:1532-1554_randomDouble_143,1592,407,1202,25,660,1216,1143,1759,1206
crRNA1033:1532-1554_randomDouble_146,1185,352,1057,192,395,1211,1153,1380,1362
crRNA1033:1532-1554_randomDouble_151,1337,507,1218,68,845,1182,1728,1497,1193
crRNA1033:1532-1554_randomDouble_153,1329,384,1070,48,156,1262,1112,1568,1023
crRNA1033:1532-1554_randomDouble_160,1261,301,1032,38,465,1003,756,1299,1066
crRNA1033:1532-1554_randomDouble_162,1451,416,1284,104,578,1386,1311,1514,1274
crRNA1033:1532-1554_randomDouble_198,1278,406,1049,64,398,1144,704,1554,1128
crRNA1033:1532-1554_randomDouble_206,1129,346,893,50,357,877,801,1451,1138
crRNA1033:1532-1554_randomDouble_216,1345,469,1186,119,267,1170,1150,1278,1473
crRNA1033:1532-1554_randomDouble_221,1351,356,1081,86,141,1036,710,1411,1300
crRNA1033:1532-1554_randomDouble_222,1286,364,922,129,372,829,771,1590,1169
crRNA1033:1532-1554_randomDouble_226,1056,268,1041,146,535,1130,750,1333,1060
crRNA1033:1532-1554_randomDouble_227,1285,337,1164,83,294,1045,856,1450,1382
crRNA1033:1532-1554_randomDouble_230,1146,420,1133,55,250,1016,3790,20132,1151
crRNA1033:1532-1554_randomDouble_240,1077,226,1099,20,345,1573,811,1291,1123
crRNA1033:1532-1554_randomDouble_246,1027,223,944,49,406,935,652,1227,1184
crRNA1033:1532-1554_randomDouble_253,1256,242,1080,33,404,1135,825,1358,1348
crRNA1033:1532-1554_randomDouble_257,1222,644,876,106,417,747,739,1374,1118
crRNA1033:1532-1554_randomDouble_258,1110,296,876,32,203,865,700,1282,935
crRNA1033:1532-1554_randomDouble_271,1561,378,1135,111,308,1097,1053,1505,1632
crRNA1033:1532-1554_randomDouble_282,1199,256,1052,16,167,856,611,1170,1013
crRNA1033:1532-1554_randomDouble_287,1313,347,1090,77,377,1007,1113,1783,1163
crRNA1033:1532-1554_randomDouble_299,1543,436,1383,69,809,1382,1329,1851,1635
crRNA1033:1532-1554_randomDouble_302,1328,313,1115,97,586,1055,633,1575,1360
crRNA1033:1532-1554_randomDouble_310,1237,407,1148,41,565,1043,803,1630,1264
crRNA1033:1532-1554_randomDouble_311,1133,171,1024,44,65,1002,774,1026,1326
crRNA1033:1532-1554_randomDouble_312,1271,304,1013,62,409,916,729,1618,1112
crRNA1033:1532-1554_randomDouble_317,974,281,728,50,124,734,646,1030,870
crRNA1033:1532-1554_randomDouble_318,1252,458,1160,109,227,968,720,1421,1247
crRNA1033:1532-1554_randomDouble_325,959,251,738,61,160,748,600,1121,814
crRNA1033:1532-1554_randomDouble_327,1429,376,1211,34,295,1026,1095,1669,1645
crRNA1033:1532-1554_randomDouble_336,1415,237,1035,128,323,849,774,1437,1352
crRNA1033:1532-1554_randomDouble_339,1637,316,1217,99,466,1402,1284,1394,1345
crRNA1033:1532-1554_randomDouble_340,1243,419,954,50,299,976,782,1685,923
crRNA1033:1532-1554_randomDouble_350,1507,456,1309,89,244,1162,1164,1646,1306
crRNA1033:1532-1554_randomDouble_353,1620,445,1251,52,593,1199,1475,1800,1380
crRNA1033:1532-1554_randomDouble_364,1143,329,1189,79,373,1143,1026,1377,1306
crRNA1033:1532-1554_randomDouble_377,1440,509,1187,13,484,1167,1257,1902,1489
crRNA1033:1532-1554_randomDouble_382,1706,408,1146,43,203,1106,731,1642,1377
