Input_R1,Input_R2,D7_R1,D7_R2,D14_R1,D14_R2
PDCD11_crRNA2066:2415-2441_T18_0.9964_0.800570196611545,662,780,537,683,609,835
PDCD11_crRNA2068:2417-2443_T19_0.9962_0.799335826628807,692,951,604,784,389,489
PDCD11_crRNA2069:2418-2444_T4_0.9989_0.814086725930829,596,913,536,845,624,806
PDCD11_crRNA2070:2419-2445_T14_0.9971_0.80111788189617,681,844,579,804,427,1100
PDCD11_crRNA2136:2508-2534_B17_0.00417_0.388241135464269,571,874,543,800,400,690
PDCD11_crRNA2139:2511-2537_B9_0.002357_0.367411396328487,627,788,557,783,452,664
PDCD11_crRNA2150:2522-2548_B11_0.002901_0.378640149897402,550,596,423,518,378,448
PDCD11_crRNA2414:2856-2882_T20_0.996_0.798197870812566,613,792,373,505,274,410
PDCD11_crRNA2508:2950-2976_B31_0.007072_0.409435251611861,614,890,631,761,403,519
PDCD11_crRNA2706:3172-3198_B1_0_0.334031898959497,529,668,457,664,285,608
PDCD11_crRNA2707:3173-3199_B13_0.003445_0.385974313151904,435,610,422,477,322,366
PDCD11_crRNA2973:3439-3465_T1_0.9998_0.83163719584509,570,788,503,666,325,530
PDCD11_crRNA2974:3440-3466_T10_0.9978_0.804773342945119,641,791,615,783,474,729
PDCD11_crRNA2975:3441-3467_T11_0.9976_0.804773342945119,623,833,676,836,452,1233
PDCD11_crRNA3199:3688-3714_B25_0.005802_0.404699877452613,1006,1237,722,1077,597,963
PDCD11_crRNA3304:3793-3819_T7_0.9984_0.809583256631725,686,931,569,845,565,1108
PDCD11_crRNA3306:3795-3821_T5_0.9987_0.810311884458888,636,893,522,750,355,875
PDCD11_crRNA3532:4044-4070_T12_0.9975_0.804560168526967,559,662,546,540,386,571
PDCD11_crRNA3897:4446-4472_B21_0.004896_0.396601990331316,518,704,561,609,411,443
PDCD11_crRNA3900:4449-4475_B37_0.008704_0.41553450297364,472,725,465,661,244,616
PDCD11_crRNA4112:4661-4687_B7_0.001451_0.364882247836301,617,1083,645,999,513,952
PDCD11_crRNA4172:4721-4747_B3_0.0007253_0.358748578579683,433,840,437,497,324,470
PDCD11_crRNA4179:4728-4754_B19_0.004533_0.391043381690387,516,816,484,617,240,622
PDCD11_crRNA4184:4733-4759_B23_0.005258_0.399313824288878,381,586,373,562,249,498
PDCD11_crRNA4506:5102-5128_B29_0.006709_0.408636450797344,626,655,467,657,264,658
PDCD11_crRNA4645:5241-5267_T8_0.9982_0.809583256631725,801,829,585,818,346,699
PDCD11_crRNA4725:5321-5347_B39_0.009066_0.416416637476226,1120,1539,947,1292,794,1322
PDCD11_crRNA4973:5640-5666_T9_0.998_0.807384132781741,729,921,598,826,563,869
PDCD11_crRNA5001:5668-5694_T13_0.9973_0.80228300670404,669,980,540,1042,378,3475
PECR_crRNA0105:105-131_B20_0.02023_0.480391355022807,601,876,575,713,317,657
PECR_crRNA0106:106-132_B16_0.01401_0.466003878111429,811,1018,540,882,430,1305
PECR_crRNA0124:124-150_B6_0.006226_0.437782464832322,691,962,695,915,524,1070
PECR_crRNA0125:125-151_B14_0.01245_0.458771649990452,738,969,678,959,452,1047
PECR_crRNA0131:131-157_B2_0.001556_0.411521872283834,841,1181,691,1265,580,1145
PECR_crRNA0132:132-158_B7_0.007004_0.441429731116712,859,1285,746,1252,687,1351
PECR_crRNA0154:154-180_B19_0.01868_0.47445605570746,604,846,688,726,577,653
PECR_crRNA0160:160-186_T5_0.9938_0.782716077446427,670,839,505,826,321,653
PECR_crRNA0226:226-252_T14_0.9837_0.767012419128515,434,697,489,735,670,571
PECR_crRNA0227:227-253_T4_0.9953_0.784836275995838,590,834,546,966,326,762
PECR_crRNA0228:228-254_T3_0.9961_0.785871506513105,574,704,476,639,359,1055
PECR_crRNA0229:229-255_T10_0.9883_0.771474112207001,642,916,622,948,408,1035
PECR_crRNA0230:230-256_T6_0.993_0.781976628627683,740,1047,609,964,460,789
PECR_crRNA0234:234-260_T18_0.9774_0.763020494726799,701,938,625,878,377,607
PECR_crRNA0235:235-261_T19_0.9767_0.763020494726799,635,834,534,824,512,513
PECR_crRNA0240:240-266_T15_0.9829_0.766996152518099,663,965,625,1016,449,932
PECR_crRNA0252:252-278_B12_0.01089_0.448653717415623,742,909,679,833,863,920
PECR_crRNA0253:253-279_B13_0.01167_0.449427364621739,594,781,542,654,407,678
PECR_crRNA0255:255-281_B1_0.0007782_0.4106454231685,600,892,561,710,438,1028
PECR_crRNA0256:256-282_B4_0.004669_0.433940096257386,573,749,416,607,394,688
PECR_crRNA0257:257-283_B3_0.003113_0.419458517932809,513,793,425,687,270,728
PECR_crRNA0258:258-284_B15_0.01323_0.462667012786748,402,654,347,529,322,402
PECR_crRNA0259:259-285_B17_0.01479_0.467749864863417,605,745,476,627,254,469
PECR_crRNA0260:260-286_B5_0.005447_0.436568607541474,582,776,545,754,332,1122
PECR_crRNA0262:262-288_B9_0.00856_0.442652607059952,674,913,530,814,452,3400
PECR_crRNA0263:263-289_B18_0.0179_0.474262781170605,828,1087,693,927,870,706
PECR_crRNA0264:264-290_B11_0.01012_0.445265833098876,820,1007,555,772,607,1564
PECR_crRNA0265:265-291_B10_0.009339_0.445265833098876,984,1114,794,1265,1076,1040
PECR_crRNA0266:266-292_B8_0.007782_0.442652607059952,807,1038,692,995,630,856
PECR_crRNA0305:305-331_T2_0.9977_0.79862450279511,470,559,357,600,259,443
PECR_crRNA0309:309-335_T9_0.9899_0.771747943272156,701,919,556,597,517,564
PECR_crRNA0353:377-403_T20_0.9759_0.762718443190883,595,894,396,687,394,758
PECR_crRNA0407:431-457_T17_0.9813_0.766046716198726,767,1090,596,840,436,890
PECR_crRNA0479:503-529_T8_0.9907_0.771883273039542,524,850,455,756,304,594
PECR_crRNA0483:507-533_T13_0.9852_0.767785459942571,659,758,432,645,285,425
PECR_crRNA0602:626-652_T7_0.9914_0.774757715316505,419,698,458,634,307,449
PECR_crRNA0676:700-726_T1_0.9984_0.807693178214424,468,756,471,706,329,761
PECR_crRNA0721:769-795_T12_0.986_0.768571106549527,590,741,535,700,300,798
PECR_crRNA0783:831-857_T11_0.9868_0.768685496216393,825,813,623,866,470,731
PECR_crRNA0845:916-942_T16_0.9821_0.766881341973158,831,1178,661,833,420,787
PHLDA2_crRNA067:67-93_B22_0.04184_0.328058451885322,830,988,667,886,427,646
PHLDA2_crRNA082:105-131_T16_0.9609_0.743782607432263,692,1167,621,843,597,550
PHLDA2_crRNA083:106-132_T17_0.9595_0.743782607432263,752,969,713,939,476,1479
PHLDA2_crRNA084:107-133_T18_0.9582_0.743782607432263,672,880,442,783,283,800
PHLDA2_crRNA085:108-134_T19_0.9568_0.743782607432263,663,729,553,894,496,1387
PHLDA2_crRNA086:109-135_T20_0.9555_0.743782607432263,744,919,638,782,473,586
PHLDA2_crRNA088:111-137_T7_0.9865_0.766397039862142,603,762,522,860,493,700
PHLDA2_crRNA089:112-138_T3_0.996_0.785074524359037,757,1225,625,889,408,580
PHLDA2_crRNA090:113-139_T6_0.9892_0.77136050565903,802,892,539,700,369,486
PHLDA2_crRNA091:114-140_T15_0.9622_0.744400966650056,571,882,522,682,489,582
PHLDA2_crRNA092:115-141_T8_0.9784_0.758380005266929,783,947,557,847,406,891
PHLDA2_crRNA099:122-148_T14_0.9636_0.744455554271346,815,883,597,776,318,739
PHLDA2_crRNA100:123-149_T2_0.9973_0.797372691121663,806,1012,651,993,661,1060
PHLDA2_crRNA101:124-150_T1_0.9987_0.813593396855286,754,912,508,870,456,503
PHLDA2_crRNA131:154-180_T11_0.9744_0.751875410268252,435,745,377,593,250,760
PHLDA2_crRNA134:157-183_T9_0.9771_0.757067878745576,657,850,530,608,439,638
PHLDA2_crRNA135:158-184_T12_0.973_0.748628287085274,568,600,372,486,427,328
PHLDA2_crRNA136:159-185_T13_0.9717_0.748628287085274,505,550,366,544,352,461
PHLDA2_crRNA151:174-200_B55_0.09717_0.363850525050054,1075,1177,743,1096,535,727
PHLDA2_crRNA154:177-203_B25_0.04723_0.330195758835217,1292,1617,1054,1480,930,1455
PHLDA2_crRNA155:178-204_B49_0.08772_0.35552055373097,1290,1700,1076,1251,710,978
PHLDA2_crRNA156:179-205_B58_0.1012_0.366122072907958,866,1115,757,1053,734,1005
PHLDA2_crRNA160:183-209_B19_0.03644_0.3274961948955,782,1050,657,971,528,696
PHLDA2_crRNA162:185-211_B10_0.01619_0.302480661381124,750,1005,609,939,413,944
PHLDA2_crRNA163:186-212_B16_0.02564_0.313380001461063,743,913,574,785,523,1547
PHLDA2_crRNA175:221-247_B40_0.07287_0.351300130698022,1368,1976,1136,1543,836,1708
PHLDA2_crRNA204:250-276_T10_0.9757_0.752946877617866,731,881,528,861,339,714
PHLDA2_crRNA206:252-278_T5_0.9906_0.774539062735449,782,944,553,791,384,939
PHLDA2_crRNA207:253-279_T4_0.9933_0.775278750283351,824,1051,723,944,530,993
PHLDA2_crRNA399:445-471_B46_0.08232_0.354229103958593,794,1183,764,1143,521,1289
PHLDA2_crRNA425:471-497_B37_0.06748_0.347915957227012,1153,1535,1012,1276,1039,1182
PHLDA2_crRNA443:489-515_B4_0.005398_0.276802104973697,702,954,497,779,396,803
PHLDA2_crRNA444:490-516_B1_0.00135_0.268242917722698,793,957,556,726,436,615
PHLDA2_crRNA447:493-519_B13_0.02024_0.304831065742172,804,1129,775,958,854,742
PHLDA2_crRNA449:495-521_B28_0.05263_0.334457188233977,721,1033,682,886,483,737
PHLDA2_crRNA450:496-522_B7_0.009447_0.285020637623281,671,1046,622,813,493,838
PHLDA2_crRNA456:502-528_B31_0.05803_0.344375125243843,730,874,569,805,553,655
PHLDA2_crRNA457:503-529_B43_0.07692_0.351513236713094,746,972,598,783,523,669
PHLDA2_crRNA460:506-532_B34_0.06343_0.346952522095334,799,1142,739,1125,549,1110
PHLDA2_crRNA474:520-546_B52_0.09177_0.358157791647684,489,801,539,729,425,393
POLA1_crRNA0121:199-225_B16_0.009597_0.458107470985575,276,464,304,363,1100,346
POLA1_crRNA0181:259-285_T14_0.9966_0.779868514964242,456,550,244,430,111,253
POLA1_crRNA0184:262-288_T3_0.9993_0.78876065593191,713,762,304,469,228,302
POLA1_crRNA0231:309-335_T1_0.9998_0.806641684557436,484,635,643,625,434,665
POLA1_crRNA0232:310-336_T17_0.9959_0.779467116909123,630,730,472,575,458,559
POLA1_crRNA0233:311-337_T4_0.999_0.786482499456472,665,832,403,648,337,759
POLA1_crRNA0537:640-666_B4_0.003119_0.413989769157647,505,718,319,639,291,430
POLA1_crRNA0555:681-707_B9_0.007198_0.448158496311906,412,561,308,491,168,502
POLA1_crRNA0556:682-708_B1_0.0012_0.405054665965913,558,776,488,719,549,523
POLA1_crRNA0573:699-725_B13_0.008637_0.455350025008133,350,555,325,429,242,425
POLA1_crRNA0696:822-848_T19_0.9954_0.777197831268167,448,701,268,455,203,345
POLA1_crRNA0739:865-891_T18_0.9957_0.778008075719552,639,749,666,746,513,649
POLA1_crRNA0767:893-919_T2_0.9995_0.80121501343895,465,606,364,499,276,527
POLA1_crRNA0771:897-923_T6_0.9986_0.784325181107252,538,592,177,241,84,233
POLA1_crRNA0782:908-934_T16_0.9962_0.779510707610978,485,649,428,599,268,742
POLA1_crRNA0898:1048-1074_T15_0.9964_0.77975987594897,555,845,478,730,333,609
POLA1_crRNA0951:1125-1151_T20_0.995_0.776767666486533,135,263,8,11,4,4
POLA1_crRNA1930:2390-2416_T11_0.9974_0.78140046308643,659,803,543,675,440,659
POLA1_crRNA1940:2400-2426_T8_0.9981_0.781614698416936,525,755,192,291,100,170
POLA1_crRNA2165:2799-2825_T7_0.9983_0.784268738909924,560,788,492,748,492,1161
POLA1_crRNA2168:2802-2828_T5_0.9988_0.784358622372245,377,511,120,193,53,78
POLA1_crRNA2213:2847-2873_B6_0.006238_0.436104124040486,212,328,228,353,174,239
POLA1_crRNA2749:3544-3570_T12_0.9971_0.77994418190023,369,508,316,503,268,386
POLA1_crRNA2750:3545-3571_T13_0.9969_0.77994418190023,318,401,229,338,209,254
POLA1_crRNA2894:3689-3715_B5_0.005998_0.435801277583073,464,795,593,644,943,1120
POLA1_crRNA2895:3690-3716_B7_0.006718_0.44263277399267,476,892,515,637,346,1201
POLA1_crRNA2899:3694-3720_B12_0.008397_0.454716362225648,575,921,608,897,426,967
POLA1_crRNA2910:3705-3731_B10_0.007917_0.450275751410548,628,809,553,616,1475,494
POLA1_crRNA2975:3770-3796_B8_0.006958_0.44814509233043,525,708,501,704,373,1099
POLA1_crRNA2976:3771-3797_B15_0.009357_0.457459607673242,507,783,546,697,878,628
POLA1_crRNA2977:3772-3798_B19_0.01104_0.46057003953506,570,773,599,761,483,1001
POLA1_crRNA2978:3773-3799_B18_0.0108_0.459764430318566,510,845,514,722,853,671
POLA1_crRNA3039:3834-3860_B14_0.008877_0.455796436399829,594,779,562,686,636,558
POLA1_crRNA3332:4150-4176_B11_0.008157_0.4544119663836,287,439,317,369,243,278
POLA1_crRNA3333:4151-4177_B20_0.01128_0.462102292201235,233,473,284,402,512,255
POLA1_crRNA3340:4158-4184_B17_0.01056_0.458866737688421,558,771,487,735,310,596
POLA1_crRNA3342:4160-4186_B3_0.002879_0.412059195602912,603,776,519,782,376,656
POLA1_crRNA3343:4161-4187_B2_0.001919_0.410713187389975,672,1034,606,637,580,1081
POLA1_crRNA3401:4257-4283_T9_0.9978_0.781481871443155,454,603,355,495,352,292
POLA1_crRNA3402:4258-4284_T10_0.9976_0.781481871443155,507,715,291,418,252,295
PRPF19_crRNA0163:186-212_B15_0.008672_0.384864028744939,1039,1254,833,1098,669,1258
PRPF19_crRNA0275:298-324_T3_0.9951_0.790849919816966,576,731,425,606,350,528
PRPF19_crRNA0276:299-325_T13_0.9767_0.762254809778447,541,643,412,658,306,465
PRPF19_crRNA0294:317-343_B29_0.02114_0.408433654771579,437,778,407,814,242,1104
PRPF19_crRNA0352:375-401_B9_0.00542_0.377140118232025,879,1220,744,1024,548,793
PRPF19_crRNA0355:378-404_B27_0.01951_0.406664601597882,893,1250,752,1153,535,1165
PRPF19_crRNA0365:388-414_B3_0.001084_0.332644981251308,597,929,567,883,658,1818
PRPF19_crRNA0366:389-415_B13_0.007588_0.379851897444199,645,863,538,906,367,734
PRPF19_crRNA0367:390-416_B39_0.03089_0.422119758997371,681,868,291,422,168,392
PRPF19_crRNA0373:396-422_B19_0.01084_0.392501622267292,407,737,404,658,287,634
PRPF19_crRNA0374:397-423_B5_0.002168_0.338670452311139,487,709,542,694,645,962
PRPF19_crRNA0375:398-424_B1_0_0.321158146861354,441,707,336,637,285,583
PRPF19_crRNA0377:400-426_B33_0.02493_0.41685686245829,383,596,404,594,233,519
PRPF19_crRNA0402:425-451_T15_0.9734_0.760059646802775,462,869,445,567,421,471
PRPF19_crRNA0403:426-452_T16_0.9729_0.760059646802775,245,421,217,353,166,290
PRPF19_crRNA0416:439-465_T4_0.9935_0.780079126305125,594,780,455,641,365,583
PRPF19_crRNA0418:441-467_T9_0.9843_0.769378699155247,733,842,535,673,392,683
PRPF19_crRNA0437:460-486_B17_0.009756_0.388111411507531,776,894,669,835,550,724
PRPF19_crRNA0446:469-495_B31_0.02276_0.410398381851354,908,1193,701,836,507,863
PRPF19_crRNA0454:477-503_B25_0.01789_0.401180209357416,590,755,549,740,477,577
PRPF19_crRNA0572:595-621_B37_0.02927_0.420915207216528,591,750,462,753,436,752
PRPF19_crRNA0651:674-700_T18_0.9718_0.759718686818885,848,901,623,886,559,1375
PRPF19_crRNA0652:675-701_T19_0.9713_0.759718686818885,669,905,507,877,425,1327
PRPF19_crRNA0734:757-783_T11_0.9783_0.76258919460222,519,692,490,681,338,825
PRPF19_crRNA0735:758-784_T12_0.9778_0.76258919460222,570,679,493,645,336,534
PRPF19_crRNA0736:759-785_T6_0.9913_0.774757715316505,611,909,559,748,327,391
PRPF19_crRNA0738:761-787_T17_0.9724_0.760059646802775,759,938,615,818,477,577
PRPF19_crRNA0740:763-789_T8_0.9864_0.771197586066075,664,860,628,899,515,742
PRPF19_crRNA0758:781-807_T5_0.993_0.77975987594897,428,580,98,156,63,54
PRPF19_crRNA0819:842-868_T7_0.9908_0.774127087505383,679,975,594,869,609,806
PRPF19_crRNA0861:884-910_B35_0.02656_0.418591220123239,593,837,652,745,398,485
PRPF19_crRNA0866:889-915_B7_0.004336_0.357820115228617,429,679,398,562,234,570
PRPF19_crRNA0890:913-939_T20_0.9707_0.759110950859994,349,595,427,512,401,802
PRPF19_crRNA0927:973-999_B11_0.006504_0.378268281535452,499,771,447,620,281,327
PRPF19_crRNA1017:1097-1123_T2_0.9989_0.813287223749846,615,797,509,670,506,681
PRPF19_crRNA1023:1103-1129_T10_0.9805_0.765255571195104,856,992,554,829,243,594
PRPF19_crRNA1033:1113-1139_T14_0.9762_0.762125438564689,866,1170,329,398,163,199
PRPF19_crRNA1120:1200-1226_T1_0.9995_0.826532528772896,400,590,73,111,29,38
PRPF19_crRNA1277:1357-1383_B23_0.01626_0.400167830921514,730,867,474,710,357,894
PRPF19_crRNA1287:1367-1393_B21_0.01301_0.3967313341504,830,967,635,976,473,1284
PSMB2_crRNA0314:388-414_B3_0.006609_0.398540873504988,900,1141,689,1009,463,981
PSMB2_crRNA0315:389-415_B11_0.0244_0.443737398324988,828,1066,623,805,450,684
PSMB2_crRNA0317:391-417_B29_0.06507_0.492248541407194,638,878,563,872,561,554
PSMB2_crRNA0319:393-419_B7_0.01525_0.423650825399282,770,1212,702,1220,608,1690
PSMB2_crRNA0323:397-423_B5_0.01118_0.408610012341594,638,781,616,905,699,1253
PSMB2_crRNA0325:399-425_B19_0.03915_0.46088320632836,784,1151,698,977,574,833
PSMB2_crRNA0327:401-427_B17_0.03762_0.458935255866335,562,749,455,582,217,449
PSMB2_crRNA0342:416-442_B35_0.08338_0.512614178108824,590,995,542,1037,690,1557
PSMB2_crRNA0369:443-469_B37_0.0849_0.514333687568598,535,681,510,682,316,560
PSMB2_crRNA0376:450-476_B21_0.04474_0.46506049213209,772,1042,642,1058,575,1354
PSMB2_crRNA0379:453-479_B1_0.004067_0.378546166831387,990,1161,859,1249,842,1734
PSMB2_crRNA0382:456-482_B15_0.03559_0.45522909707221,795,1176,705,1081,647,1198
PSMB2_crRNA0384:458-484_B23_0.05236_0.477951308103777,798,1361,785,1082,677,978
PSMB2_crRNA0545:642-668_B9_0.0183_0.430564341405195,623,723,593,632,760,461
PSMB2_crRNA0574:671-697_T1_0.9995_0.819637483123226,485,623,410,544,304,505
PSMB2_crRNA0621:718-744_T5_0.9863_0.770815806918283,483,696,466,794,450,661
PSMB2_crRNA0630:727-753_T3_0.9969_0.802789764452702,821,1005,690,988,552,2014
PSMB2_crRNA0632:729-755_T9_0.9807_0.766910736501776,749,936,695,1024,994,978
PSMB2_crRNA0633:730-756_T19_0.9629_0.754490161777239,741,1071,642,1015,491,1004
PSMB2_crRNA0635:732-758_T8_0.9812_0.767139129973535,813,1020,606,1206,491,1207
PSMB2_crRNA0636:733-759_T7_0.9853_0.768685496216393,761,1012,694,858,942,842
PSMB2_crRNA0712:833-859_B27_0.06253_0.490140134774674,359,535,339,484,254,341
PSMB2_crRNA0737:858-884_T15_0.9725_0.761002104452416,542,696,540,728,503,969
PSMB2_crRNA0738:859-885_T18_0.9644_0.755235670156084,649,856,545,920,401,1370
PSMB2_crRNA0739:860-886_T17_0.967_0.757330993777027,611,831,556,787,545,879
PSMB2_crRNA0740:861-887_T20_0.9609_0.753719808690463,736,1087,803,1097,732,1027
PSMB2_crRNA0742:863-889_T13_0.9736_0.761799963722878,529,822,456,530,517,874
PSMB2_crRNA0744:865-891_T4_0.9908_0.7783526633599,779,974,402,663,392,764
PSMB2_crRNA0745:866-892_T10_0.9792_0.766324578796638,581,823,450,647,479,1044
PSMB2_crRNA0747:868-894_T11_0.9786_0.766324578796638,465,732,612,915,722,957
PSMB2_crRNA0748:869-895_T12_0.9751_0.763820150008351,549,757,585,810,469,989
PSMB2_crRNA0764:885-911_T6_0.9858_0.76955994998251,468,743,461,570,338,438
PSMB2_crRNA0765:886-912_T16_0.971_0.759110950859994,448,645,499,625,343,516
PSMB2_crRNA0766:887-913_T14_0.9731_0.761086196192944,474,636,512,527,434,436
PSMB2_crRNA0767:888-914_T2_0.9985_0.807658930934226,485,724,443,559,324,551
PSMB2_crRNA0777:898-924_B31_0.06914_0.495782630390023,382,580,376,517,276,351
PSMB2_crRNA0781:902-928_B39_0.08592_0.515272053429632,587,751,616,654,1127,793
PSMB2_crRNA0782:903-929_B13_0.03406_0.454218313078707,551,652,427,638,389,857
PSMB2_crRNA0841:985-1011_B33_0.07168_0.496486979581489,380,580,318,486,208,862
PSMB2_crRNA0846:990-1016_B25_0.05694_0.483761717478242,459,738,392,661,251,491
PSMB6_crRNA069:69-95_B33_0.05537_0.510081862495327,890,1237,828,1078,1546,1387
PSMB6_crRNA073:73-99_B29_0.04886_0.500558713876944,586,1132,662,1021,484,797
PSMB6_crRNA104:127-153_T16_0.9739_0.754408773461194,357,600,389,579,503,673
PSMB6_crRNA105:128-154_T17_0.9723_0.752024912197702,348,645,480,639,337,1092
PSMB6_crRNA119:142-168_B21_0.0342_0.488748584489393,505,743,494,847,503,1468
PSMB6_crRNA121:144-170_B1_0_0.381434270326978,434,588,180,294,157,260
PSMB6_crRNA123:146-172_B3_0.003257_0.395283941562468,677,763,683,751,791,828
PSMB6_crRNA125:148-174_B5_0.006515_0.410523145182345,649,803,586,789,401,682
PSMB6_crRNA166:226-252_B37_0.06352_0.51723596342688,344,540,464,721,529,1078
PSMB6_crRNA227:311-337_B23_0.03746_0.491099510507509,1050,1269,753,1244,542,2892
PSMB6_crRNA239:323-349_B17_0.02769_0.478242509866141,725,843,671,1076,669,1506
PSMB6_crRNA282:366-392_B11_0.01629_0.447875822477192,703,849,567,797,504,679
PSMB6_crRNA287:371-397_B19_0.03094_0.479790224015639,778,1194,563,960,584,1104
PSMB6_crRNA288:372-398_B31_0.05212_0.503028394859834,497,800,572,855,520,1646
PSMB6_crRNA289:373-399_B9_0.01303_0.437573238830181,574,801,610,888,439,1344
PSMB6_crRNA290:374-400_B7_0.009772_0.420284497152234,642,980,678,830,553,752
PSMB6_crRNA334:418-444_T14_0.9772_0.758178533252102,504,652,314,493,301,588
PSMB6_crRNA337:421-447_T9_0.9853_0.765172408464157,545,729,597,808,617,1082
PSMB6_crRNA340:424-450_T19_0.9691_0.751258542729917,576,652,515,656,449,705
PSMB6_crRNA348:432-458_T5_0.9919_0.787209292571506,344,616,231,410,317,495
PSMB6_crRNA385:469-495_T20_0.9674_0.749357958048281,639,912,543,820,419,639
PSMB6_crRNA393:477-503_T7_0.9886_0.773476907193157,499,616,203,233,187,320
PSMB6_crRNA394:478-504_T8_0.987_0.773476907193157,353,410,84,88,59,71
PSMB6_crRNA396:504-530_T15_0.9756_0.756177152699296,775,925,672,947,688,1012
PSMB6_crRNA456:564-590_B35_0.06026_0.515892981229401,447,652,404,711,479,867
PSMB6_crRNA465:573-599_B25_0.04235_0.4939528692567,524,688,588,752,529,980
PSMB6_crRNA468:576-602_T4_0.9935_0.787626499054175,806,1028,800,932,641,809
PSMB6_crRNA469:577-603_T2_0.9967_0.797777681169446,566,724,576,875,754,1317
PSMB6_crRNA471:579-605_T1_0.9984_0.816961030856357,478,571,518,671,487,710
PSMB6_crRNA474:582-608_T6_0.9902_0.786778550759103,624,842,578,797,521,770
PSMB6_crRNA475:583-609_T13_0.9788_0.760059646802775,600,855,656,905,653,1281
PSMB6_crRNA508:616-642_B39_0.07166_0.520829519859852,494,641,439,513,282,398
PSMB6_crRNA510:618-644_B15_0.0228_0.469750872709781,558,841,546,701,1110,652
PSMB6_crRNA570:678-704_T3_0.9951_0.792791099651103,718,858,374,723,482,893
PSMB6_crRNA571:679-705_T11_0.9821_0.764722901342441,622,843,539,635,424,731
PSMB6_crRNA572:680-706_T12_0.9805_0.764722901342441,608,829,645,871,633,998
PSMB6_crRNA573:681-707_T10_0.9837_0.764875917365907,718,931,594,883,560,1095
PSMB6_crRNA587:695-721_T18_0.9707_0.751449170678833,555,612,538,758,689,667
PSMB6_crRNA609:741-767_B27_0.0456_0.495609316114598,350,594,368,675,357,987
PSMB6_crRNA610:742-768_B13_0.01954_0.460456116022554,505,692,461,616,374,679
PSMD1_crRNA0143:143-169_T9_0.9966_0.785799712539077,396,492,81,153,64,115
PSMD1_crRNA0151:151-177_B5_0.001869_0.423771190477478,1168,1504,1083,1455,766,1548
PSMD1_crRNA0153:153-179_B7_0.002991_0.44263277399267,1325,1941,1123,1728,858,1394
PSMD1_crRNA0155:155-181_B17_0.007477_0.465689613168248,1231,1589,1049,1502,1159,1480
PSMD1_crRNA0188:188-214_B33_0.01383_0.485174951696778,353,715,319,520,317,325
PSMD1_crRNA0192:192-218_B25_0.01084_0.480299587928989,488,781,459,719,325,684
PSMD1_crRNA0293:317-343_T12_0.9955_0.776734339462599,563,751,516,729,315,652
PSMD1_crRNA0844:1008-1034_T19_0.9925_0.772012318260732,174,275,41,59,31,38
PSMD1_crRNA0934:1098-1124_B3_0.0007477_0.409110382394184,518,626,465,646,394,568
PSMD1_crRNA0937:1101-1127_B27_0.01159_0.480976768263227,595,723,585,768,374,993
PSMD1_crRNA0938:1102-1128_B31_0.01308_0.483763761651589,605,808,548,791,662,742
PSMD1_crRNA1315:1574-1600_T15_0.9944_0.774600431479815,178,220,9,46,3,25
PSMD1_crRNA1329:1588-1614_T17_0.9933_0.77274280342387,356,453,146,258,65,214
PSMD1_crRNA1331:1590-1616_T18_0.9929_0.77274280342387,646,887,458,718,320,625
PSMD1_crRNA1390:1672-1698_T2_0.9993_0.797915517768022,627,817,391,597,348,547
PSMD1_crRNA1391:1673-1699_T4_0.9985_0.792792039696508,554,782,489,670,375,561
PSMD1_crRNA1394:1676-1702_T3_0.9989_0.795198926163789,796,1124,641,1056,617,879
PSMD1_crRNA1511:1816-1842_T14_0.9948_0.774757715316505,349,533,278,512,188,381
PSMD1_crRNA1720:2025-2051_B11_0.00486_0.452168457377131,221,555,312,435,525,279
PSMD1_crRNA1722:2027-2053_B9_0.004112_0.452168457377131,332,458,268,413,216,366
PSMD1_crRNA1800:2105-2131_T16_0.994_0.773476907193157,480,554,195,383,159,241
PSMD1_crRNA1808:2113-2139_T13_0.9951_0.776734339462599,617,813,533,701,905,685
PSMD1_crRNA1822:2127-2153_T1_0.9996_0.809657391814449,540,634,386,526,333,453
PSMD1_crRNA1892:2197-2223_T6_0.9978_0.787888223437164,355,465,165,189,55,115
PSMD1_crRNA1894:2199-2225_T7_0.9974_0.78769632644242,510,818,424,643,275,601
PSMD1_crRNA2036:2341-2367_T10_0.9963_0.781973963452091,505,698,538,726,432,676
PSMD1_crRNA2173:2502-2528_B19_0.008224_0.466886057398046,449,675,420,606,329,480
PSMD1_crRNA2175:2504-2530_B29_0.01234_0.482146840035415,604,705,520,829,370,663
PSMD1_crRNA2271:2600-2626_B13_0.005607_0.454217199733876,433,638,443,596,406,603
PSMD1_crRNA2351:2795-2821_B23_0.01009_0.474474340216599,455,655,437,582,478,608
PSMD1_crRNA2352:2796-2822_B39_0.01645_0.491183167711471,468,669,341,591,288,630
PSMD1_crRNA2358:2802-2828_B1_0_0.283797874358312,715,890,771,893,1266,826
PSMD1_crRNA2359:2803-2829_B35_0.01458_0.487266267481066,510,686,535,783,415,642
PSMD1_crRNA2374:2818-2844_B37_0.0157_0.490200543989634,396,470,211,284,149,210
PSMD1_crRNA2376:2820-2846_B21_0.008972_0.472097689882592,514,539,374,543,345,408
PSMD1_crRNA2466:2910-2936_T11_0.9959_0.78140046308643,353,383,188,246,96,184
PSMD1_crRNA2477:2921-2947_T20_0.9921_0.771685848166242,386,591,318,504,277,574
