Input_R1,Input_R2,D7_R1,D7_R2,D14_R1,D14_R2
BCL9L_crRNA3663:4822-4848_B16_0.002246_0.286656703625314,594,807,475,631,436,746
BCL9L_crRNA3864:5061-5087_B28_0.004096_0.310759027082602,723,1328,785,1305,682,1535
BCL9L_crRNA4050:5387-5413_T2_0.9995_0.809929911612327,883,1169,652,882,674,918
BORA_crRNA0257:427-453_B8_0.003519_0.487762840925144,540,826,461,719,358,453
BORA_crRNA0294:464-490_B12_0.00553_0.496876703518658,596,774,679,822,533,958
BORA_crRNA0407:649-675_B1_0_0.396601408848481,546,571,456,547,328,412
BORA_crRNA0408:650-676_B18_0.008547_0.512805117890797,498,671,457,603,425,416
BORA_crRNA0425:692-718_B15_0.007039_0.507490991122936,572,778,479,712,396,1038
BORA_crRNA0429:696-722_B3_0.001006_0.456508943441263,506,712,449,629,292,654
BORA_crRNA0454:721-747_B13_0.006033_0.49833105013905,465,675,452,526,518,369
BORA_crRNA0518:809-835_B9_0.004022_0.492945602905766,454,736,429,611,333,432
BORA_crRNA0520:811-837_B14_0.006536_0.503780969346536,177,434,225,323,109,209
BORA_crRNA0521:812-838_B17_0.008044_0.508879104590167,313,568,307,461,403,381
BORA_crRNA0522:813-839_B11_0.005028_0.496505614028513,638,981,541,779,329,749
BORA_crRNA0523:814-840_B10_0.004525_0.496505614028513,348,664,295,566,249,518
BORA_crRNA0528:843-869_B6_0.002514_0.483937877461999,297,470,299,498,232,354
BORA_crRNA0612:952-978_B16_0.007541_0.507670543640764,458,626,385,578,278,461
BORA_crRNA0770:1157-1183_T2_0.999_0.813151992634111,718,871,548,839,468,676
BORA_crRNA0771:1158-1184_T1_0.9995_0.819637483123226,622,821,600,756,886,796
BORA_crRNA0772:1159-1185_T7_0.9935_0.77615747928922,573,740,535,694,1520,500
BORA_crRNA0774:1161-1187_T3_0.9975_0.792792039696508,929,983,755,871,1910,673
BORA_crRNA0775:1162-1188_T5_0.996_0.788082162791854,601,788,634,761,417,652
BORA_crRNA0776:1163-1189_T8_0.9915_0.771350529684741,861,1194,725,978,580,1101
