"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
108,37,39,90,4,-0.575
545,447,559,470,7,-3.067
75,26,162,138,66,-1.67
645,497,646,574,11,-0.859
390,362,426,228,328,-1.782
4,1,102,10,609,-2.185
109,82,5,53,1,-0.323
7,29,7,4,4,-3.029
47,53,43,21,13,-0.204
16,8,104,16,21,-0.435
110,83,127,44,17,-0.087
133,29,10,46,1,-1.945
73,94,131,84,26,-0.043
8,42,1,16,7,-0.193
16,7,15,2,12,-1.002
1,2,5,7,6,-1.154
65,13,127,29,40,-0.033
51,83,17,13,20,-1.148
7,15,22,10,19,-0.699
2,61,2,4,5,-1.089
111,32,12,130,13,-1.564
145,29,219,47,1,-0.652
291,252,86,236,20,-0.52
283,248,82,224,17,-0.075
342,276,44,234,29,0.001
262,105,36,315,11,-0.043
164,80,233,157,52,-0.987
358,283,57,324,4,-1.711
18,53,111,16,82,-0.119
107,152,163,74,61,-0.493
21,114,31,120,37,-1.056
325,256,40,287,2,-3.455
313,250,69,283,38,-1.79
156,67,38,155,21,-0.942
36,52,21,106,2,-2.125
136,137,29,167,22,-1.433
33,5,59,146,3,-2.566
30,79,115,79,38,-2.742
137,18,88,15,33,-0.459
14,210,35,89,29,-1.709
164,41,24,153,23,-0.467
18,25,45,38,3,-2.505
249,220,55,228,1,-1.798
240,305,267,268,111,-0.561
148,47,2,131,34,-0.927
109,27,17,34,12,-1.225
105,57,75,68,10,-2.032
186,262,38,164,16,-0.289
284,237,66,300,14,-0.114
339,261,340,316,236,-0.764
295,243,95,180,49,-2.464
169,38,13,73,4,-1.245
271,232,81,195,68,-0.656
225,212,67,253,106,-0.378
135,172,196,202,86,-0.715
237,97,28,189,6,-1.387
123,89,23,60,5,-1.615
96,30,44,148,3,-3.01
77,44,33,93,224,-1.165
26,7,15,26,6,-0.476
118,105,63,89,19,-0.07
105,95,75,92,2,-0.481
80,80,72,66,24,-0.605
38,24,11,61,11,0.089
1,13,1,3,3,-1.454
4,2,8,2,27,-0.042
63,29,55,33,15,-0.18
54,21,40,81,43,-2.257
15,9,6,35,1,-0.461
24,15,31,18,4,-2.107
91,68,34,37,20,0.098
102,76,55,102,6,0.024
43,23,5,33,5,-0.63
13,7,19,19,14,-2.321
6,20,13,4,21,-0.748
7,4,2,14,29,-0.301
8,10,7,9,26,-0.932
59,57,29,15,23,-1.113
6,3,5,4,5,-1.663
3,1,1,2,3,-1.258
1,2,2,3,2,-0.344
2,5,4,1,6,-0.579
8,7,17,5,15,-0.23
20,26,25,13,16,0.308
26,18,12,21,19,0.26
62,18,14,46,13,-0.387
27,11,11,29,5,-0.37
66,23,4,57,15,-0.682
90,80,73,68,55,-0.364
10,1,7,2,45,-0.519
114,90,32,109,14,0.082
82,77,18,97,10,-0.993
118,25,44,28,53,-0.034
4,3,2,9,3,-0.216
83,32,38,47,120,-0.281
81,68,54,38,19,-0.115
13,33,34,31,17,0.224
26,9,9,14,6,-0.327
16,13,69,26,20,-0.018
43,14,68,36,28,0.286
51,16,48,47,16,0.389
56,18,67,42,23,0.003
8,6,24,30,9,-0.052
65,58,2,72,4,0.023
1692,1080,1693,896,560,-0.469
1205,887,1228,312,164,-0.775
919,118,961,382,564,-0.08
1699,1302,1700,1643,92,-0.236
228,18,28,46,157,-0.31
155,29,99,26,154,0.047
164,42,269,359,23,-0.276
89,44,69,137,3,-0.456
94,47,17,53,8,-0.853
64,6,60,38,1,-2.794
16,4,68,52,4,-0.491
54,26,36,94,26,-1.402
103,34,23,90,20,-0.982
2,37,35,9,23,-1.196
8,2,9,62,6,-0.426
118,36,34,161,16,-0.602
11,2,5,3,2,0.239
62,58,10,69,91,-0.056
84,96,41,66,18,0.205
21,9,34,20,29,0.01
37,18,17,17,8,0.231
12,7,2,4,9,0.548
85,73,25,65,22,0.159
1,4,3,11,14,-0.166
7,15,17,6,2,-2.846
1,12,11,3,9,-1.082
6,3,16,18,10,-0.775
17,34,25,20,7,-0.903
76,33,39,94,5,-1.363
7,5,12,91,8,-0.389
67,79,32,45,17,-0.191
10,44,8,13,30,-0.949
18,3,24,11,10,-1.65
74,71,18,79,3,-3.114
24,6,1,16,1,-2.756
62,29,29,69,60,-0.976
30,24,64,28,12,-0.341
327,266,335,323,14,-1.115
139,48,80,154,1,-1.338
17,2,113,53,313,-0.45
67,27,49,85,5,-0.851
169,61,34,242,7,-3.424
368,301,92,342,43,-0.266
131,39,188,20,3,-0.763
228,299,258,119,69,-1.337
235,225,56,164,11,-0.72
628,583,630,593,197,-0.02
463,409,478,486,29,-0.949
404,565,425,429,242,-0.322
644,491,644,632,41,-1.142
519,434,530,360,58,0.215
19,10,116,129,478,-0.43
46,66,139,158,449,-1.31
301,124,335,293,4,-0.903
349,360,375,167,127,-1.449
11,1,67,11,3,-0.613
87,38,66,141,108,-0.552
15,6,4,45,13,-1.426
56,15,16,51,10,-0.194
104,45,17,75,35,-0.711
51,43,52,90,12,-0.094
26,59,14,57,5,-0.99
119,106,28,115,83,-0.568
136,115,92,122,4,-0.148
24,47,35,34,22,-0.377
305,275,85,345,47,-1.982
307,276,320,321,37,-1.669
356,374,363,347,18,-0.185
319,281,330,307,176,-0.255
360,300,367,332,103,-0.705
94,67,159,140,353,-1.995
107,57,12,110,58,-0.709
264,77,39,60,14,-1.072
312,174,8,114,26,-1.064
604,501,621,588,13,-1.294
447,27,484,201,15,-0.779
694,545,699,700,44,-0.11
368,160,10,400,48,-1.402
260,47,17,148,31,-2.313
594,497,32,449,2,-0.568
638,519,76,570,74,-0.617
251,101,307,191,676,-0.078
97,2,2,448,56,-2.026
340,277,341,332,108,-0.079
56,131,136,77,84,-0.145
97,28,20,72,1,-1.507
16,1,8,18,6,-0.862
302,253,80,291,10,-1.005
31,18,2,16,27,-2.139
187,72,5,152,2,-2.775
304,255,79,208,30,-0.411
36,7,48,14,37,-0.525
331,346,333,305,122,0.036
6,1,57,1,44,-0.975
