"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
38,15,3,85,6,-1.874
1,1,1,1,4,-1.386
10,9,5,3,21,-1.045
134,98,134,65,3,-1.527
35,3,35,77,125,-0.951
3,34,3,34,15,-0.234
21,6,21,140,29,0.313
9,9,13,33,18,-2.105
3,64,43,6,27,-2.192
24,70,54,16,78,-0.84
28,48,19,39,15,-1.764
18,24,62,25,21,-2.517
34,32,2,28,10,-1.816
8,14,12,5,1,-0.971
26,28,7,22,13,-1.943
9,15,14,6,7,-1.113
38,36,8,35,11,-0.679
22,55,20,16,21,-1.112
31,6,1,25,1,-0.264
33,30,18,38,10,-0.345
19,54,24,17,27,-1.149
90,111,3,84,5,-0.996
26,23,65,20,83,-0.022
51,91,56,54,42,-0.982
11,20,15,5,15,-0.902
14,32,8,1,27,-0.903
3,2,5,10,79,-1.993
40,7,128,15,163,-0.21
1,118,99,7,149,-0.547
24,129,117,12,190,-0.139
25,4,11,66,35,-0.087
49,14,7,140,5,-0.035
29,7,11,19,32,-0.439
12,16,3,4,14,-0.511
70,36,27,27,40,0.129
22,52,41,12,46,-0.078
51,27,4,30,97,0.362
4,42,46,4,55,-0.796
20,17,52,13,38,-1.4
62,62,24,68,7,-0.86
88,52,46,197,75,-0.754
51,131,130,2,26,-1.907
38,8,17,60,20,-1.619
7,7,24,28,34,-1.054
261,230,55,227,182,-1.55
8,11,105,4,277,-1.315
65,68,3,9,12,-0.36
29,263,35,35,94,-0.515
108,120,172,101,130,-0.906
6,231,103,53,154,-0.502
43,15,10,57,2,-1.044
114,162,161,66,147,-1.384
91,86,16,5,28,-0.669
94,150,70,19,103,-1.595
41,79,44,16,69,-1.13
37,56,26,23,10,-3.261
9,42,103,9,42,-2.242
102,33,30,17,49,-0.574
17,15,26,34,132,-0.986
88,142,22,11,207,-1.783
29,367,47,54,471,-0.262
104,344,67,82,182,-0.483
25,365,118,26,627,-1.684
56,14,28,39,21,-0.615
13,8,14,11,10,-0.974
5,21,8,9,32,-0.586
38,43,75,71,84,-0.925
14,11,58,92,30,-3.507
76,23,4,39,5,-4.192
3,16,1,1,2,-3.078
31,38,40,51,11,-2.113
1,6,2,2,10,0.088
59,62,39,58,37,0.34
17,27,12,11,18,-1.429
36,17,3,19,2,-1.716
20,6,15,3,15,-0.721
57,52,5,56,1,-1.742
68,57,11,68,3,-0.645
40,12,4,37,4,-3.741
21,36,3,4,7,0.778
28,16,16,21,12,-1.19
43,64,23,54,8,1.732
2,35,10,7,15,-0.949
39,61,62,74,53,-1.376
75,11,3,29,5,-1.297
45,10,28,27,22,0.004
51,4,37,17,10,-0.941
10,1,11,7,9,-1.838
30,43,8,11,11,-1.433
57,29,31,23,31,-1.019
70,80,63,58,49,0.843
4,6,7,12,33,-0.905
3,59,35,3,53,-1.86
6,94,2,10,1,-0.896
121,16,21,214,64,-0.424
22,70,4,6,14,-0.687
72,33,146,34,119,-2.202
57,62,133,107,298,0.523
44,88,52,134,63,-1.568
24,27,13,47,32,-0.936
172,50,39,110,56,-3.794
76,23,26,43,41,-1.72
17,70,25,79,55,-0.884
102,109,79,48,66,-1.177
161,171,23,165,35,-0.919
16,8,3,14,2,-0.793
11,30,28,9,24,-1.038
10,5,15,14,16,-1.627
59,53,105,31,115,0.232
2,2,5,10,8,-0.573
74,59,33,45,7,-1.302
16,36,2,12,4,-4.354
8,2,3,23,8,-0.775
11,149,25,41,25,-0.491
37,58,5,47,6,-1.571
55,63,54,33,29,0.777
34,14,1,68,4,-0.137
5,35,23,3,49,-0.277
7,18,34,124,68,-0.178
4,1,8,1,3,0.114
53,2,8,1,214,-1.449
36,15,10,54,2,-2.453
51,112,121,7,98,-3.394
41,109,28,46,137,0.549
73,18,27,16,34,0.056
92,95,60,37,41,-0.59
93,164,139,123,162,-0.741
54,24,73,54,26,-0.993
6,50,7,34,27,-0.918
79,55,48,44,15,-0.376
12,36,9,11,20,-2.681
16,15,10,52,7,-2.483
10,34,20,119,18,-0.776
58,50,30,55,10,-2.584
9,9,28,32,39,-0.745
63,53,47,60,40,-2.268
46,42,11,57,23,-1.621
74,19,41,28,21,-2.85
3,27,5,8,5,-4.083
6,30,15,5,8,-2.861
32,42,2,11,6,-1.878
121,108,6,60,5,-2.149
30,12,29,36,112,-1.061
75,5,37,23,13,-0.678
2,1,11,1,12,-0.777
13,44,61,13,20,-0.181
3,5,4,8,6,-2.134
81,34,11,33,31,-1.442
51,77,124,87,67,0.462
31,143,66,64,55,-1.386
60,8,9,59,3,-2.148
14,61,41,25,41,-1.361
44,43,35,18,19,-1.076
16,1,14,15,6,-1.349
38,47,23,20,8,-0.471
104,85,11,106,5,-0.928
1,1,4,1,3,-3.006
21,56,28,14,13,0.189
52,39,25,54,11,-1.156
16,21,9,13,6,-2.632
28,27,56,21,67,0.249
114,104,70,55,32,-1.484
35,66,7,24,4,-3.964
20,7,16,3,12,-3.541
8,9,1,1,5,-1.89
24,6,1,6,30,-1.717
9,13,3,19,3,-1.49
48,5,11,37,7,0.549
42,64,20,58,8,-0.745
1,1,53,3,79,-0.337
43,40,29,6,13,-0.774
25,22,3,8,6,-0.687
4,7,41,40,50,-0.184
8,4,4,16,4,-1.571
17,36,11,94,18,-1.378
13,33,4,8,2,-0.909
4,39,33,10,6,-1.238
33,31,41,19,40,0.001
12,57,4,29,4,-1.151
13,18,4,21,1,-2.636
55,30,4,6,9,-2.399
5,17,13,19,7,-1.186
11,2,1,6,3,-2.272
32,3,1,3,4,-2.497
4,4,26,2,3,-2.111
3,3,66,8,45,-1.103
151,113,68,51,22,-0.475
30,4,1,1,28,-3.617
2,1,3,9,1,-2.22
1,15,33,4,3,-0.796
3,1,39,3,23,-1.528
14,22,8,13,6,-0.696
8,4,4,6,5,-2
42,22,120,18,14,-0.875
39,35,60,15,130,0.021
37,9,4,37,13,-0.401
8,23,103,6,157,-0.441
66,117,140,140,278,0.291
12,33,38,11,13,-1.165
59,54,22,67,8,-3.589
29,4,1,29,2,-2.972
3,26,17,27,19,-0.188
34,35,13,16,13,-1.615
89,13,4,78,106,-2.978
26,39,6,10,4,-1.826
41,87,9,7,84,-1.352
4,2,2,1,4,-1.378
52,23,62,34,38,-1.404
20,81,19,30,9,-1.191
22,80,3,42,2,-1.126
53,49,28,22,31,-0.429
5,4,22,24,13,-1.683
13,10,105,46,11,-1.41
14,107,80,31,22,0.001
5,17,8,4,4,-1.016
20,31,46,23,20,-2.024
44,86,32,72,13,-1.818
21,2,3,4,1,-2.502
14,33,51,35,7,-2.049
20,10,10,8,5,-3.943
17,15,8,4,10,-1.413
6,40,17,3,21,-2.206
75,29,38,71,144,0.019
5,11,2,5,5,-1.359
6,28,43,7,6,-1.147
45,105,3,56,74,-1.632
93,129,29,20,93,-0.348
9,90,105,13,112,-1.032
28,98,117,30,75,-0.959
75,32,146,44,135,-2.214
74,30,124,51,209,0.488
79,106,126,35,116,-1.5
107,67,144,100,205,-1.332
14,76,101,114,114,0.146
62,182,21,117,93,-1.126
32,80,38,47,121,-1.301
12,27,17,3,140,-0.328
30,144,116,31,177,-1.354
3,55,13,5,95,0.121
5,69,8,8,68,-1.187
36,7,36,16,20,-2.897
14,51,43,48,66,-1.387
13,4,97,6,48,-2.016
3,112,100,9,206,-1.493
13,16,108,46,102,-1.293
4,144,101,6,475,0.747
56,7,10,26,66,0.061
50,96,135,66,168,-1.333
36,28,15,24,51,-0.591
2,24,101,1,151,0.263
4,2,1,4,16,-0.897
30,4,26,14,72,-1.084
21,52,16,10,55,-0.894
250,239,98,318,71,-1.742
228,226,267,162,184,-0.169
232,82,271,176,44,-1.078
55,127,139,26,138,-1.262
7,77,105,12,179,-0.861
22,11,113,19,79,0.514
1,1,10,28,71,-0.914
31,15,122,33,531,-1.053
19,167,110,22,268,-1
2,68,12,5,148,-0.897
96,16,51,33,125,-0.912
54,12,49,208,167,-1.45
82,107,89,23,174,-1.01
39,159,61,8,64,-2.578
56,64,20,45,136,-1.383
62,120,137,67,62,-1.754
22,9,3,8,10,-1.17
16,10,12,18,21,-2.46
18,18,2,12,6,-1.913
2,1,1,10,4,-2.435
28,27,29,29,15,-1.461
15,8,10,14,11,-1.731
30,3,42,16,68,-1.266
19,123,102,13,146,-0.563
22,5,104,8,33,-0.619
35,101,9,44,332,-0.784
2,8,17,76,8,-0.783
20,79,3,11,20,-1
41,103,119,15,126,-0.863
1,72,39,7,107,-0.47
2,6,20,19,26,0.457
36,8,5,27,32,-1.189
25,304,2,22,36,-1.947
103,39,180,102,161,-1.309
10,38,109,24,467,-0.746
15,4,23,18,58,0.001
28,306,121,15,854,-0.46
51,47,44,40,6,-1.562
10,16,2,3,22,-0.485
1,26,51,1,39,-0.911
69,14,23,55,29,-1.099
25,38,28,21,31,-1.133
12,8,2,19,2,-1.087
32,35,30,40,20,-0.247
1,12,1,8,3,-0.848
14,23,7,16,6,-0.709
36,370,53,329,900,0.129
48,191,137,1857,1083,-1.253
11,16,47,7,839,-1.658
10,172,108,6,782,-1.202
16,72,34,28,249,-0.633
7,8,7,9,23,-3.2
14,33,37,12,33,-1.644
6,29,10,6,30,-0.191
17,4,22,8,10,-1.161
10,3,2,5,3,-0.227
42,27,29,50,15,-2.506
3,7,33,4,48,-1.334
13,19,4,8,5,-2.057
14,57,44,11,38,-0.831
12,56,2,10,26,-0.929
37,33,10,29,11,-3.976
35,14,12,4,1,-2.301
36,32,9,18,4,-0.49
4,23,14,3,16,-1.91
19,45,29,3,67,-0.872
27,58,48,118,368,-1.102
74,279,156,22,351,-0.558
5,15,4,89,1,-0.868
59,27,15,102,106,-0.815
25,203,74,4,192,-1.147
6,9,33,65,32,-1.423
11,73,88,43,250,-1.385
8,41,26,19,5,-0.637
31,287,119,35,444,-0.288
79,9,58,290,251,-0.908
37,92,121,75,160,-3.584
3,1,4,1,2,-0.952
21,4,19,6,32,-1.986
13,81,109,33,107,-0.72
101,12,33,55,176,-0.151
333,294,356,188,50,-1.329
190,118,242,37,187,-0.233
205,112,23,214,88,-0.501
72,35,69,59,51,0.046
92,34,165,37,69,-0.041
98,235,170,35,220,0.271
15,67,5,8,122,-0.187
5,1,60,4,189,-0.65
84,21,7,66,59,-0.12
17,2,2,23,3,-2.431
2,11,1,1,7,-2.056
13,18,3,24,8,-1.207
19,7,6,14,5,-0.528
22,37,18,11,17,0.011
12,35,107,28,516,-0.867
28,1,45,18,127,-0.284
1,174,8,14,58,-0.116
46,205,131,30,151,-1.118
22,37,113,94,520,-1.04
1,128,95,28,103,-0.242
12,21,103,43,109,-0.132
87,167,155,21,136,-1.68
25,139,113,48,139,-0.465
3,204,103,16,29,-0.23
5,10,105,6,258,-0.583
88,33,4,14,20,-0.989
16,243,79,4,183,-1.408
10,156,8,15,36,-1.479
114,131,19,99,21,-2.362
33,96,31,2,6,-1.78
156,153,195,123,66,-0.758
108,34,10,76,14,-1.49
69,53,86,68,73,-1.13
7,90,15,2,102,-1.622
21,140,114,64,207,-0.652
1,15,12,10,110,-2.288
66,160,25,68,396,-1.169
3,135,102,5,202,-0.569
93,85,3,54,4,-0.597
25,50,92,14,20,-0.335
55,17,34,57,39,-0.542
2,39,7,4,51,-1.409
30,53,20,68,26,-2.381
14,42,22,1,25,-2.019
2,7,18,10,55,-0.572
130,91,96,119,40,-0.436
30,129,16,39,30,-1.77
56,13,23,15,124,-0.821
35,61,7,6,4,-1.227
69,7,42,1,7,-0.954
74,2,1,27,2,-0.402
12,213,33,16,168,-1.198
27,105,114,44,272,-1.022
83,19,143,11,132,-1.112
136,72,76,103,16,-1.853
2,81,101,4,151,-1.351
112,25,162,108,80,-0.17
40,99,89,112,66,-0.123
41,19,12,75,10,-1.458
6,1,1,3,4,-0.988
3,11,28,7,33,-0.738
310,38,339,33,173,-0.264
36,147,20,216,103,-0.163
7,2,5,49,142,-0.66
31,16,16,126,48,0.03
5,4,17,19,109,-0.103
26,122,107,71,198,-1.285
22,50,22,2,70,0.118
54,152,129,42,315,-0.423
49,40,126,18,188,0.042
152,141,33,85,78,-0.451
26,76,76,10,23,-2.944
30,79,35,54,49,0.099
54,90,8,65,3,-0.31
61,31,41,51,17,-0.584
