"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
133,65,182,102,142,0.208
135,54,27,88,6,-1.854
31,5,119,90,105,-2.855
15,6,2,33,17,-2.304
90,30,82,60,85,-2.363
35,28,3,29,34,-2.56
118,123,153,60,122,1.043
24,11,85,4,54,0.677
136,62,7,28,8,-2.389
199,36,32,105,11,-3.897
84,110,129,123,67,-1.329
26,9,113,49,123,0.066
108,116,179,27,132,-0.766
192,110,27,350,12,-2.393
12,27,17,3,140,0.179
194,11,4,36,22,-2.412
20,34,10,3,27,-1.031
10,38,52,14,14,-0.552
292,271,332,178,237,-0.056
3,112,100,9,206,0.595
41,14,28,203,51,0.535
280,134,76,222,133,-0.242
170,138,234,119,98,-1.051
66,149,137,78,157,-0.135
35,7,47,119,96,-1.751
21,52,16,10,55,-2.125
133,61,71,134,73,-0.83
116,55,171,149,211,1.417
10,12,36,5,32,-0.655
234,93,64,144,10,-3.021
151,31,208,48,107,-2.143
228,226,267,162,184,-2.456
277,101,303,224,91,-0.405
13,3,109,4,6,-2.112
18,3,109,49,59,0.004
10,92,101,6,140,-0.712
373,330,78,295,222,-0.995
241,115,84,310,110,-0.908
247,268,302,262,147,-0.448
153,23,221,117,12,-2.506
227,79,273,95,156,-3.496
150,95,31,177,73,-1.219
139,39,3,146,9,-2.223
541,438,60,432,26,-3.315
242,77,286,207,44,-1.945
426,383,438,287,261,0.652
39,61,128,44,127,0.722
40,104,30,22,133,-1.127
74,11,148,68,136,-0.366
15,20,1,5,101,0.613
16,10,12,18,21,-3.917
18,18,2,12,6,-1.574
12,16,22,36,19,0.762
22,22,31,22,22,1.272
141,37,183,146,196,1.773
78,21,138,91,29,-1.394
73,4,135,50,46,-0.453
28,125,108,64,137,1.271
30,3,42,16,68,-1.231
110,24,158,82,176,0.668
20,79,3,11,20,-3.508
39,101,118,16,72,-0.45
35,47,36,5,61,-0.852
141,61,178,74,109,1.225
132,43,34,26,29,-2.294
18,9,108,20,100,0.822
130,56,100,213,335,-1.139
19,152,113,55,273,1.674
609,248,630,462,116,-1.113
187,390,252,211,310,-2.221
372,481,415,96,180,-1.428
219,10,280,129,3,-4.511
10,1,2,2,1,-2.77
738,361,764,775,148,0.528
1130,1077,1143,638,895,-2.001
1127,399,1140,396,382,-3.252
468,759,512,894,660,0.288
837,129,857,387,330,-2.667
22,37,56,14,34,-2.338
13,14,26,27,11,-2.127
17,10,18,16,75,-0.56
43,28,25,52,16,-4.321
42,27,29,50,15,-1
