"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
44,52,110,16,43,-0.493
6,18,11,2,15,-1.398
28,5,114,58,154,0.03
42,22,120,18,14,-1.278
44,11,20,143,3,-0.559
6,4,7,120,35,-0.554
84,6,3,17,10,-2.626
241,59,48,109,80,-1.197
33,7,11,3,4,-2.849
8,12,52,1,19,-2.434
1,4,3,1,2,-1.557
24,14,1,3,1,-1.789
81,78,88,25,48,0.318
9,25,43,5,45,-0.27
5,1,40,7,39,-0.616
28,7,59,17,18,0.332
1,1,101,1,24,-2.485
31,2,5,26,3,-1.07
40,3,97,28,32,-0.508
44,47,15,14,17,-1.051
33,39,6,15,5,-2.838
2,25,13,1,10,-2.355
3,20,31,5,21,-1.169
6,40,17,3,21,-1.712
93,28,129,75,52,0.056
73,19,124,49,57,-0.206
60,17,123,93,42,0.098
8,2,4,1,13,-1.51
133,65,182,102,142,-0.455
31,5,119,90,105,-0.938
15,6,2,33,17,-0.765
90,30,82,60,85,-2.909
35,28,3,29,34,-0.694
118,123,153,60,122,-0.285
24,11,85,4,54,-1.536
136,62,7,28,8,-2.4
199,36,32,105,11,-2.747
84,110,129,123,67,-1.45
26,9,113,49,123,0.04
108,116,179,27,132,-2.293
192,110,27,350,12,-2.788
12,27,17,3,140,-0.547
194,11,4,36,22,-1.393
20,34,10,3,27,-2.982
10,38,52,14,14,-1.946
292,271,332,178,237,-0.222
3,112,100,9,206,0.043
41,14,28,203,51,-0.336
280,134,76,222,133,-2.011
170,138,234,119,98,-0.356
66,149,137,78,157,-1.911
35,7,47,119,96,-2.842
21,52,16,10,55,-2.24
133,61,71,134,73,-0.865
116,55,171,149,211,-0.021
10,12,36,5,32,-1.127
234,93,64,144,10,-0.855
151,31,208,48,107,-1.078
228,226,267,162,184,-0.466
277,101,303,224,91,-0.952
13,3,109,4,6,-2.447
18,3,109,49,59,-1.871
10,92,101,6,140,-1.432
373,330,78,295,222,-0.289
241,115,84,310,110,-1.185
247,268,302,262,147,-0.195
153,23,221,117,12,-2.089
139,39,3,146,9,-0.412
541,438,60,432,26,-2.459
242,77,286,207,44,-3.077
426,383,438,287,261,0.246
39,61,128,44,127,0.116
40,104,30,22,133,-1.924
74,11,148,68,136,-1.338
15,20,1,5,101,0.094
16,10,12,18,21,-3.068
